rank,bvid,aid,title,up_name,up_mid,view,danmaku,favorite,coin,like,share,pubdate,duration,tname,desc,videos,copyright,tags,crawl_time,duration_min,tags_list,like_rate,danmaku_density
30,BV1313tz1EQt,114783101651936,这一刀，拯救队友于水火,尴尬的铁根er,405370021,2940242,1741,6418,3517,131624,701,2025-07-02 10:19:01,218,网络游戏,,1,1,"电子竞技,搞笑,王者荣耀,MOBA,吕布",2025-07-05 16:30:23,3.6333333333333333,"['电子竞技', '搞笑', '王者荣耀', 'MOBA', '吕布']",0.04476638317526244,479.1743119266055
31,BV1xE3tzPEgQ,114783336530049,电饭煲解锁蓝莓蛋糕，简单又好吃,留意炫饭吖,1201986019,1867859,599,26237,2274,164452,3736,2025-07-02 11:16:50,107,美食记录,电饭煲解锁蓝莓蛋糕，简单又好吃,1,1,"甜品,蛋糕,Vlog,我们的家庭日记,闪闪发光的家庭日2.0",2025-07-05 16:30:25,1.7833333333333334,"['甜品', '蛋糕', 'Vlog', '我们的家庭日记', '闪闪发光的家庭日2.0']",0.08804304821723695,335.8878504672897
32,BV11LgkzBE7h,114771508593883,养一只永远不会扫兴的猫是一种什么体验…,亮亮也是酿酿,2678945,4427606,4185,67689,101357,496721,32606,2025-06-30 09:08:28,354,喵星人,,1,1,"动物总动员,动物总动员12.0-毛孩子美食季",2025-07-05 16:30:27,5.9,"['动物总动员', '动物总动员12.0-毛孩子美食季']",0.11218726327500686,709.322033898305
33,BV1CS3HzUEo9,114780820081681,打花棍，老祖宗留下的东西不能丢,戏曲郑三妹,1220115075,2137715,14721,27796,14055,250635,6511,2025-07-02 00:34:00,40,日常,-,1,1,"生活记录,必剪创作",2025-07-05 16:30:29,0.6666666666666666,"['生活记录', '必剪创作']",0.11724434735219616,22081.5
34,BV1Ev38zcEaM,114784326389349,瓮中捉鹰,脱缰凯Kk,373388923,1364288,5210,11574,7417,129527,1569,2025-07-03 09:00:00,456,小剧场,-,1,1,"三角洲行动,三角洲破壁新赛季上线,三角洲行动7月激励计划",2025-07-05 16:30:31,7.6,"['三角洲行动', '三角洲破壁新赛季上线', '三角洲行动7月激励计划']",0.09494109748088381,685.5263157894738
35,BV1VigSzMEhN,114777363846478,愿以吾辈之青春，捍卫盛世之中华,李维刚的日常,3493260093819171,2300903,13363,20594,137449,303977,4047,2025-07-01 09:57:31,842,美食侦探,,1,1,"正能量,英雄,致敬",2025-07-05 16:30:32,14.033333333333333,"['正能量', '英雄', '致敬']",0.13211204470592633,952.2327790973872
36,BV1WvgDzZEXX,114776978103590,【散人】国产民俗恐怖《纸嫁衣8》千子树（P1.夜盲）,逍遥散人,168598,831611,10937,21069,40662,75413,4658,2025-07-04 04:00:00,1959,单机游戏,"第一部 BV1Dy4y117Vs 第二部 BV18U4y1J7NS 第三部BV1AS4y1j7o9 第四部BV1jT411A7c6 第五部BV11u4y1S77P 第六部BV1aK411e7c7 第七部 BV1xS42197Fv
纸嫁衣第八部来啦，这次剧情承接第一部，看上去是个阶段小总结。各种往昔元素出现，十分怀念，大伙看着玩~
喜欢本系列欢迎收藏三连支持，合集持续更新中。",1,1,"逍遥散人,散人,游戏实况,剧情,解谜,恐怖,民俗,纸嫁衣8,纸嫁衣,推荐宝藏游戏",2025-07-05 16:30:34,32.65,"['逍遥散人', '散人', '游戏实况', '剧情', '解谜', '恐怖', '民俗', '纸嫁衣8', '纸嫁衣', '推荐宝藏游戏']",0.09068302367332803,334.9770290964778
37,BV16g37zfEmV,114794275346694,《绝区零》2.1版本PV | 迟吟的浪涌,绝区零,1636034895,1202432,4834,13860,23179,95971,5461,2025-07-04 12:25:00,1980,手机游戏,"盛夏如期而至
海潮周而复始
带来如烟火璀璨的回忆
也惊醒无法安眠的过往

「即使必须再次走向风浪，走向苍茫的海与天…」
「此刻的我们，也已不再踽踽独行。」

—— 欢迎来到新艾利都！——
▼ 2.1版本「迟吟的浪涌」将于7月16日上线！
7月4日起，限时期间内登录可领取1600菲林。2.1版本期间，参与限时活动，还可免费获得哲与铃全新夏日时装！
bilibili安卓端下载地址：https://www.biligame.com/detail/?id=108434
bilibiliPC端下载地址：https://www.biligame.com/detail/?id=111210",4,1,"ARPG,手游,PC,绝区零2.1,迟吟的浪涌,绝区零夏日特辑,米哈游,绝区零",2025-07-05 16:30:36,33.0,"['ARPG', '手游', 'PC', '绝区零2.1', '迟吟的浪涌', '绝区零夏日特辑', '米哈游', '绝区零']",0.0798140768043432,146.4848484848485
38,BV1Ym3tz5E5G,114783017832627,《崩坏：星穹铁道》2025年微电影 「白厄：恶魔之子」,楸凤,115243694,480496,3264,31758,41402,75661,5437,2025-07-02 09:55:05,220,GMV,"白厄已经成为了英雄!
世界如此残酷， 但我依然爱着你
--------------
选这首歌的理由，打心底让我感动，让我震撼，让我释怀，好像以前没想通的都在这里被解释了
鸟儿飞走了，我不知道它能否获得自由，但它已经置身一片花海中了。其实巨人就是这样一个残酷的世界，它不会有一个温馨的结尾，悲剧能让人悲伤，但也更容易让人铭记
喜欢请一定要三连支持加关注一下，谢谢～
BGM：悪魔の子

辛苦审核和编辑大大，希望能得到推荐",1,1,"GMV,手机游戏,MAD,崩坏：星穹铁道,白厄,星穹列车团,星穹铁道白厄,崩坏星穹铁道3.4创作者激励计划,恶魔之子,高燃,米哈游",2025-07-05 16:30:38,3.6666666666666665,"['GMV', '手机游戏', 'MAD', '崩坏：星穹铁道', '白厄', '星穹列车团', '星穹铁道白厄', '崩坏星穹铁道3.4创作者激励计划', '恶魔之子', '高燃', '米哈游']",0.15746437015084414,890.1818181818182
39,BV1oKgDz2E9X,114777296733668,我的御兽吃过恶魔果实就能疯狂进化获得能力,小逍遥动漫,403621233,3014032,11,130562,3596,10965,21,2025-07-01 09:43:21,1625,同人·手书,,1,1,"影视剪辑,动画短片,动漫,简笔画,合集,御兽",2025-07-05 16:30:40,27.083333333333332,"['影视剪辑', '动画短片', '动漫', '简笔画', '合集', '御兽']",0.0036379839364678278,0.4061538461538462
40,BV11vgXzvEK5,114777883937713,"终结恐惧,或者被恐惧终结",slava_fox,1998136608,3529927,522,34496,4881,281448,6480,2025-07-01 12:09:03,24,搞笑,-,1,1,"娱乐,生活记录,恶作剧,cos,搞笑小剧场,三角洲行动,蜂医,无名,UP 小剧场 3.0",2025-07-05 16:30:42,0.4,"['娱乐', '生活记录', '恶作剧', 'cos', '搞笑小剧场', '三角洲行动', '蜂医', '无名', 'UP 小剧场 3.0']",0.07973196046263846,1305.0
41,BV1sF34ztErZ,114782380298811,人类：用水泥灌蚂蚁窝，真好玩！！！,饭爷看世界,1442240558,5025237,368,13536,764,51566,135,2025-07-02 09:18:00,246,动物二创,,1,1,"昆虫,动物世界,蚂蚁,观察动物,神奇的闲鱼,野生动物,微观世界,切叶蚁",2025-07-05 16:30:43,4.1,"['昆虫', '动物世界', '蚂蚁', '观察动物', '神奇的闲鱼', '野生动物', '微观世界', '切叶蚁']",0.010261406576446046,89.75609756097562
42,BV1Hi3azME1V,114787228848210,《光之羁绊》暑假电影版~,曜辉动漫,3546865414965961,1838371,291,96009,3622,10663,20,2025-07-03 03:46:29,6250,同人·手书,,1,1,"暑假,原创动画,二次元,动漫,原创漫画,圆谷",2025-07-05 16:30:45,104.16666666666667,"['暑假', '原创动画', '二次元', '动漫', '原创漫画', '圆谷']",0.0058002438028015016,2.7936
43,BV1q2gDzJEDe,114776659200232,穿越二战，一群萌新如何逆天改命,资深小狐狸,3117538,2236285,7297,76372,64673,96634,4145,2025-07-01 10:00:00,4376,单机游戏,"拼尽全力，终于赶出！！！依旧是超高难度的CA苏联挑战，这一次请来了更加资深的“萌新”前来救场！
10000%的前期挣扎！100000%的后期努力！120个小时、671GB的素材、18条音轨、35000字文案、3000行字幕，最终汇聚成72min的超长大电影——拉满了，真的拉满了！
如果你也喜欢这种硬核联机、剧情拉满的合作视频，拜托一定要投币、点赞、收藏支持一波！
 你们的每一个三连，都是我继续拉人、继续卷制作的动力！
 支持越多，阵容越豪华，故事越精彩！
快用三连淹没这个还在苦苦挣扎的萌新UP主吧！孩子真的很需要！",1,1,"德国,单机游戏,苏联,策略游戏,二战,CA苏联,苏德,联机,steam游戏,整点电子榨菜",2025-07-05 16:30:47,72.93333333333334,"['德国', '单机游戏', '苏联', '策略游戏', '二战', 'CA苏联', '苏德', '联机', 'steam游戏', '整点电子榨菜']",0.04321184464413078,100.05027422303473
44,BV1LEgCzxEAz,114773236647523,《限定款の薯条》,伤心欲茄222,3493260618106936,2766356,879,6857,4156,220220,2232,2025-07-02 04:00:00,110,搞笑,-,1,1,"搞笑,八嘎,配音小剧场,UP 小剧场 3.0",2025-07-05 16:30:49,1.8333333333333333,"['搞笑', '八嘎', '配音小剧场', 'UP 小剧场 3.0']",0.07960652931148414,479.4545454545455
45,BV1am3jzyESE,114794594046845,【鬼谷说】耳鼻喉的演化：什么器官会一气之下换了个赛道,芳斯塔芙,72270557,953987,3917,20308,31497,78025,1408,2025-07-04 11:00:00,1147,科学科普,不得不说，耳鼻的演化居然给了我一种AI重绘500次的感觉，你永远无法想象一个孔窍下一千万年会通向何处,1,1,"古生物,科普,器官演化史,喷水孔,鼻孔,演化,耳鼻喉,鬼谷说",2025-07-05 16:30:51,19.116666666666667,"['古生物', '科普', '器官演化史', '喷水孔', '鼻孔', '演化', '耳鼻喉', '鬼谷说']",0.08178832625601816,204.89973844812553
46,BV1vU3azFEUL,114786826264406,韩国釜山.菜市场里的宝藏,真探唐仁杰,544336675,1326291,1433,8013,2412,132078,1489,2025-07-03 04:05:00,211,美食侦探,这是菜市场？！这绝对是我在韩国吃过最惊艳的一顿！,1,1,"街头美食,美食侦探,美食,韩国,舌尖真探事务所,宝藏,菜市场,探店",2025-07-05 16:30:53,3.5166666666666666,"['街头美食', '美食侦探', '美食', '韩国', '舌尖真探事务所', '宝藏', '菜市场', '探店']",0.09958448032897757,407.4881516587678
47,BV1zE3MzaEF6,114787547615468,这个运镜真的很俏皮谁懂！！,白昼小熊,542246263,1316231,23,45057,5415,176895,2884,2025-07-03 05:08:29,17,穿搭,原创是DLK.TM！#DL摇,1,1,"性感,女神,小姐姐,今日出门怎么穿,525夏日企划《我要我就这样》",2025-07-05 16:30:54,0.2833333333333333,"['性感', '女神', '小姐姐', '今日出门怎么穿', '525夏日企划《我要我就这样》']",0.13439510237944555,81.17647058823529
48,BV1cq3uzuEnV,114788772353818,重回十岁，我将拯救大家【脑内古堡01】,圆桌动漫,654552,2233641,1467,50421,7831,27280,298,2025-07-03 10:15:40,726,同人·手书,,1,1,"小说,手书,圆桌宇宙,范雅柔,萧凡",2025-07-05 16:30:55,12.1,"['小说', '手书', '圆桌宇宙', '范雅柔', '萧凡']",0.012213242862214653,121.2396694214876
49,BV1pp3tzhEr3,114783286201144,义父义母们能多让刚子带我出去玩吗？他买单！,_张天琪,108331200,2057032,7001,24818,9485,63018,446,2025-07-02 11:04:10,381,搞笑,-,1,1,"日常vlog,主打就一个宠粉",2025-07-05 16:30:57,6.35,"['日常vlog', '主打就一个宠粉']",0.030635400907715583,1102.5196850393702
50,BV1hK3xzeETY,114782967437069,《倒计时：7天》,是许木木啊,3546731908171869,1463853,2534,24999,5418,72130,1261,2025-07-02 09:44:33,691,日常,-,1,1,"生活记录,学习,记录",2025-07-05 16:30:59,11.516666666666667,"['生活记录', '学习', '记录']",0.049274073284680905,220.02894356005788
51,BV1jF3TzdERg,114788134818567,“如果需要薪柴，我自燃烧殆尽…”,三颗虾仁,3546837552204489,459559,719,20831,25423,100425,3962,2025-07-03 09:00:00,194,人文历史,“比漫漫长夜更加恐怖的是，不知晓黎明是否还会到来”,1,1,"游戏,崩坏：星穹铁道,白厄,暑期狂欢节,崩坏星穹铁道,星穹铁道白厄,因为太阳将要毁伤,翁法罗斯逐火之旅,表演",2025-07-05 16:31:00,3.2333333333333334,"['游戏', '崩坏：星穹铁道', '白厄', '暑期狂欢节', '崩坏星穹铁道', '星穹铁道白厄', '因为太阳将要毁伤', '翁法罗斯逐火之旅', '表演']",0.21852471608650903,222.37113402061854
52,BV1gq3MznEGW,114789225469580,"""同志 最近你的磁场又弱了 多听红歌来镇压你的情绪""",我爱吃派大星,296465852,547963,34846,29306,21598,200821,3254,2025-07-03 12:13:17,51,音乐综合,"""同志 最近你的磁场又弱了 多听红歌来镇压你的情绪""",1,1,清唱,2025-07-05 16:31:02,0.85,['清唱'],0.3664864233534016,40995.29411764706
53,BV1a338z2ELc,114784578048128,《黑白御兽》第一集,小果_动漫,279946181,2725511,4,65380,1452,5869,3,2025-07-02 16:31:10,390,国产原创相关,,1,1,"二次元,原创动画,原创动漫",2025-07-05 16:31:04,6.5,"['二次元', '原创动画', '原创动漫']",0.0021533576639389826,0.6153846153846154
54,BV1w73YzgEex,114786507428832,《霸气妖丸》1-5合集,九妖丸,3546698452306368,1945960,92,75495,2829,9709,30,2025-07-03 00:44:58,1325,MAD·AMV,,1,1,"动画短片,动画种草激励计划,七月动画种草激励,合集,热血,黄皮子",2025-07-05 16:31:06,22.083333333333332,"['动画短片', '动画种草激励计划', '七月动画种草激励', '合集', '热血', '黄皮子']",0.004989311188308084,4.166037735849057
55,BV1Mo3tzMEbw,114783252647953,“武林争锋  双雄对决”,韵之燃剪,350858551,1589832,4111,39879,4386,44792,250,2025-07-02 11:02:59,1470,影视剪辑,既分高下，也决生死,1,1,"电影剪辑,功夫,港片,动作,转转回收,王宝强,一个人的武林,甄子丹,叶问,转转",2025-07-05 16:31:07,24.5,"['电影剪辑', '功夫', '港片', '动作', '转转回收', '王宝强', '一个人的武林', '甄子丹', '叶问', '转转']",0.02817404606272864,167.79591836734693
56,BV1Q73szTEfd,114781356821707,大家好，我是魏建军，今天正式成为一名UP主！,魏建军,3546684458010636,2112464,3353,6233,8275,137875,2420,2025-07-02 02:52:29,267,日常,B站的朋友们大家好，非常开心能够入驻B站，成为一名UP主。未来，我会向各位年轻人多多学习，跟大家玩到一起、聊到一起！感谢大家~,1,1,"新人,UP主,汽车,长城,老魏,长城汽车,魏建军",2025-07-05 16:31:09,4.45,"['新人', 'UP主', '汽车', '长城', '老魏', '长城汽车', '魏建军']",0.06526738443826735,753.4831460674156
57,BV1AvgDzZE6B,114776978031804,做了一颗气疯对手的羽毛球,小狮日记,444728505,4725968,2125,30945,8385,62053,7171,2025-07-01 10:30:00,248,家居房产,,1,1,"羽毛球,运动,DIY,科技,渴望就可能,创作星引力,百事可乐",2025-07-05 16:31:11,4.133333333333334,"['羽毛球', '运动', 'DIY', '科技', '渴望就可能', '创作星引力', '百事可乐']",0.01313022009459226,514.1129032258063
58,BV1yq3szWEqb,114781071611187,难道成绩不好就不配拥有爱嘛？,小蒋姐祖本蒋,3546877270166385,1702804,122,92719,7547,8388,20,2025-07-02 01:38:12,234,手机游戏,-,1,1,"蛋仔宝藏地图,蛋仔派对三周年,蛋仔派对创计划,蛋仔,蛋仔派对,蛋仔派对宝藏乐园地图",2025-07-05 16:31:12,3.9,"['蛋仔宝藏地图', '蛋仔派对三周年', '蛋仔派对创计划', '蛋仔', '蛋仔派对', '蛋仔派对宝藏乐园地图']",0.004925992656817813,31.28205128205128
59,BV18C3WzhEPm,114781390440001,【差分宇宙科研】尽数利用所有机制的终极玩法！白厄竟是翁法罗斯三重命途的唯一适格者？千面英雄至高神的创造模式！杀不死我的只会让我更加强大！,甘泽成谣雨成诗,482212512,952403,11281,30653,13225,72274,8129,2025-07-02 03:04:06,704,手机游戏,"特别鸣谢：@初冬の暮雨  长官的无敌剪辑卡点
借物表：命途图标【【崩坏：星穹铁道】当我把命途符号做成动画2.0】https://www.bilibili.com/video/BV1sD421P7xm?vd_source=9a3d0235bdeb7c75e8ce4761aaf04a44

据真实可靠的野史记载，翁法罗斯的第四重命途是欢愉，因为白厄甚至连欢愉祝福方程也能吃满，耀变视为附加伤害把二星欢愉无视防御吃到饱，反击又视为追击还能打出耀变伤害和回复血量，甚至还能吃到追加攻击弱点击破效率提高。你知道的，白厄他这家伙简直强的离谱。",1,1,"崩坏：星穹铁道,白厄,崩坏星穹铁道,崩坏：星穹铁道创作者激励计划,差分宇宙,差分宇宙科研,因为太阳将要毁伤,翁法罗斯逐火之旅",2025-07-05 16:31:14,11.733333333333333,"['崩坏：星穹铁道', '白厄', '崩坏星穹铁道', '崩坏：星穹铁道创作者激励计划', '差分宇宙', '差分宇宙科研', '因为太阳将要毁伤', '翁法罗斯逐火之旅']",0.07588594324041398,961.4488636363637
60,BV1N2gmzXEnw,114774595602077,全班老钱,侯绿萝,503058735,4220637,1217,46725,11402,356826,6168,2025-07-01 05:50:00,96,小剧场,-,1,1,"校园,大学生,学生",2025-07-05 16:31:15,1.6,"['校园', '大学生', '学生']",0.08454316256053293,760.625
61,BV12L3jziE79,114792731772497,《明日方舟》干员「司霆惊蛰」技能展示PV,明日方舟,161775300,1486336,18581,6859,10517,87510,42790,2025-07-04 03:03:42,180,手机游戏,"《明日方舟》干员「司霆惊蛰」技能展示PV
“剑有缺口，雷有喑时，律法、雷法、剑法，说到底都是惩奸除恶的工具。”

————————————
《明日方舟》故事集「镜中集」即将开放
更多活动详情内容详见官方自媒体账号。",1,1,明日方舟,2025-07-05 16:31:17,3.0,['明日方舟'],0.05887632406131588,6193.666666666667
62,BV12P3gzSEDj,114788537473253,《打工皇帝养成记-搓澡篇》,邢三狗子,485359169,2097965,551,21436,1648,67951,217,2025-07-03 09:21:00,272,搞笑,-,1,1,"日常,生活,剧情向",2025-07-05 16:31:18,4.533333333333333,"['日常', '生活', '剧情向']",0.032389005536317336,121.54411764705883
63,BV1wf3WznEpG,114781558146811,《崩坏：星穹铁道》白厄动画短片：「又一次黎明」,夙曈,1693720319,818465,4010,38051,31534,101581,3265,2025-07-02 10:00:00,91,GMV,"【熔于破晓的碎金海·白厄落地企划216h】18:00||第9棒
很荣幸这次能作为特邀嘉宾参加白厄同人主页策划的产出接力活动！
----------
又一次站在旅途的终点，无垠的麦田，一切的起始。 
他望见昔日的青梅竹马沐浴在金黄色的黎明中。
 “欢迎回来”
 她缓缓转身，微笑着说道
 “祝你一路顺风”

BGM：Mili - Entertainment -（《哥布林杀手 第二季》片头曲）
部分分镜仿制：《哥布林杀手 第二季》片头曲画面
----------
我的天哪请输入文本...不是，卡厄斯兰那救世主大人！！！
自从3.3版本过后就立刻着手开始制作这次的白厄动画短片了！
这个过程咱始终极力避免被内鬼剧透啊...真是辛苦自己了（
所以看3.4前瞻的时候感觉叫得整栋宿舍楼都能听见（不是

这次的选曲是Mili的歌，恰巧那段时间在狂补各种异世界番，意外的发现哥杀的这首OP曲的歌词非常非常适配啊！再加上Mili独特的曲风，非常有命运感和神圣感了！
动画的内容也是一改再改，特别是在前瞻、白厄的各种官方视频放出之后，就很毅然决然的修改了原先早就构思好的部分（神厄的那一整段都是这几天才做好的！）因为实在是太帅了... 还有根据PV和光锥的形象增加了一下黑厄的破碎感，咱真的宁愿到了最后关头再修改也不愿意看该似的内鬼啊！！！回头看来我之前做的黑厄还是太完整了（不是

然后就是搓了好多黑白闪（咱还是那么喜欢）这次的特效感觉会比上次强一点点，但好像也没强多少（什
构思了很多超有感觉的分镜，感觉又已经是现阶段能做到的最好的了，为了小白狠狠燃尽了自己（吗
但这可能是咱暑假期间第一个也是最后一个作品了，因为接下来抵达战场的是暑期实习！很难说能抽空出来做这种工作量巨大的动画短片...也有可能随缘更点剪辑

最后希望大伙能够喜欢这个动画短片！小白小白我们喜欢你啊！（哭
----------
策划：夙曈
动画：夙曈
渲染：夙曈
特效：夙曈
后期：夙曈

-借物表-
大部分模型：miHoYo
盗火行者：miHoYo/给你柠檬椰果养乐多你会跟我玩吗
黑厄：miHoYo/夙曈

场景：miHoYo/网络资产",1,1,"动画,白厄,崩坏星穹铁道,翁法罗斯,星穹铁道白厄,卡厄斯兰那,崩坏星穹铁道3.4创作者激励计划,熔于破晓的碎金海,白厄落地企划216h,三渲二,米哈游",2025-07-05 16:31:20,1.5166666666666666,"['动画', '白厄', '崩坏星穹铁道', '翁法罗斯', '星穹铁道白厄', '卡厄斯兰那', '崩坏星穹铁道3.4创作者激励计划', '熔于破晓的碎金海', '白厄落地企划216h', '三渲二', '米哈游']",0.12411159915207126,2643.956043956044
64,BV1xF37ziECW,114794728265260,【花小烙】好久没有跟大家聊天了，所以我们来读评论吧！,画渣花小烙,402576555,965341,2231,23079,15132,65467,383,2025-07-04 11:32:10,443,科学科普,不要看我，不要看我！～这里什么也没有！,1,1,动漫杂谈,2025-07-05 16:31:22,7.383333333333334,['动漫杂谈'],0.06781748625615197,302.16704288939053
