rank,bvid,aid,title,up_name,up_mid,view,danmaku,favorite,coin,like,share,pubdate,duration,tname,desc,videos,copyright,tags,crawl_time,duration_min,tags_list,like_rate,danmaku_density
65,BV1XpgXzCEWR,114777749722940,【大学生就业指导】葱烧大排！还能速成份葱油拌面？顺手的事儿！,阿白的金手指厨房,3546603960928658,1100080,679,53437,9644,85916,5598,2025-07-01 11:36:49,371,美食制作,-,1,1,"厨艺,小吃,美食制作,美食教程,吃播,食堂,葱油拌面,大学生就业,Vlog,大学生就业指南-美食版,大学生就业指南-美食版2.0",2025-07-05 16:31:23,6.183333333333334,"['厨艺', '小吃', '美食制作', '美食教程', '吃播', '食堂', '葱油拌面', '大学生就业', 'Vlog', '大学生就业指南-美食版', '大学生就业指南-美食版2.0']",0.07809977456185005,109.81132075471697
66,BV1RGgDzkEAU,114777229624642,这饭一天卖一吨，好吃到我原地晕碳。,日食记,8960728,2768504,4379,31199,34923,101102,18008,2025-07-01 09:27:01,912,美食制作,新疆太顶了，我前前后后呆了半个月，好吃到根本不想回来，我永远爱新疆。,1,1,"新疆探店,舌尖真探事务所,新疆美食,大盘鸡,手抓饭,馕,赛里木湖,新疆炒米粉,新疆烤包子,新疆羊肉",2025-07-05 16:31:25,15.2,"['新疆探店', '舌尖真探事务所', '新疆美食', '大盘鸡', '手抓饭', '馕', '赛里木湖', '新疆炒米粉', '新疆烤包子', '新疆羊肉']",0.036518639669655524,288.0921052631579
67,BV1RV3pzwEvK,114780568294165,我做了一款三角洲行动模拟器！耗时20小时！,九神花路水,342629782,613920,579,23856,48993,64746,4271,2025-07-02 00:08:02,215,网络游戏,"每天晚上直播，记得来看我哦！！
视频制作不易，希望活菩萨们可以投币三连",1,1,"原创,直播,FPS,第一视角,三角洲S3,九神花路水,教程攻略,主播,2025三角洲行动畅玩日常,三角洲行动4月激励计划",2025-07-05 16:31:26,3.5833333333333335,"['原创', '直播', 'FPS', '第一视角', '三角洲S3', '九神花路水', '教程攻略', '主播', '2025三角洲行动畅玩日常', '三角洲行动4月激励计划']",0.1054632525410477,161.5813953488372
68,BV1PngkzKE12,114771659660254,《吸呀吸旷世奇蚊》,红豆稀饭中,250648682,3523644,49633,82235,36327,403673,89284,2025-06-30 09:47:47,107,鬼畜调教,蚊子别咬我了,1,1,"生活,蚊子,搞笑,莫愁乡,旷世奇才,亚细亚,血压,鬼畜星探企划,鬼畜星探企划第二十二期",2025-07-05 16:31:28,1.7833333333333334,"['生活', '蚊子', '搞笑', '莫愁乡', '旷世奇才', '亚细亚', '血压', '鬼畜星探企划', '鬼畜星探企划第二十二期']",0.11456123263303557,27831.588785046726
69,BV1Cj3GzJE4F,114791054054879,你明明设计的是圈钱游戏，可玩家不但不反感，还让你多圈一点。,在下左左漫,3546841511627381,2049078,87,58097,1909,8486,20,2025-07-04 03:35:00,1279,同人·手书,你明明设计的是圈钱游戏，可玩家不但不反感，还让你多圈一点。,1,1,"原创动画,二次元,原创手绘,原创动漫",2025-07-05 16:31:30,21.316666666666666,"['原创动画', '二次元', '原创手绘', '原创动漫']",0.004141374803692197,4.0813135261923374
70,BV15egSzzEJf,114777380623908,我勒个豆！岛上追着金鱼跑，大佬竟邀我上车？！三种配色鲤鱼车+保底60艾比福袋香爆了！,蛋仔懒涯涯,1055399865,2114220,1332,80100,6167,13440,15,2025-07-01 09:58:33,202,手机游戏,"天啊！在蛋仔岛看到超炫金鱼（啊不，是鲤鱼！）坐骑，鼓起勇气去问大佬能不能看看，结果...TA竟然在人群中邀请我上车了！这金色泡泡、这飘逸尾巴，美哭！立刻决定拿下它！

【鲤鱼车获取】就在XX地方（记得替换具体位置）！需要12880蛋币~ 三种配色各有特色！金灿灿/海洋蓝/神秘紫，你pick哪个？评论区告诉我！坐骑还能吐泡泡带人哦~ 想上车的小懒蛋可以岛上偶遇我（能跟随=有空！）！

【重大福利！艾比福袋更新】保底从90降到60了！！有条件的小懒蛋快冲！本欧皇小懒11抽就出了彩光螳螂！360蛋币搞定！还继承了35级性格对的螳螂美滋滋~（继承器记得确认弹窗哦！）",1,1,"eggy爱挤,蛋仔日常,蛋仔奇思妙想计划,蛋仔派对三周年,蛋仔旅行家,蛋仔派对创计划,欧皇,竞技游戏,蛋仔派对",2025-07-05 16:31:32,3.3666666666666667,"['eggy爱挤', '蛋仔日常', '蛋仔奇思妙想计划', '蛋仔派对三周年', '蛋仔旅行家', '蛋仔派对创计划', '欧皇', '竞技游戏', '蛋仔派对']",0.006356954337769958,395.64356435643566
71,BV1hu3tzgE6x,114783772743484,【速凌】当大坝东楼刷了雷斯之后。。。,高司令-速凌电竞,3546875066059052,1428380,25851,8445,9769,114207,2606,2025-07-02 13:07:17,141,单机游戏,,1,1,"搞笑,FPS,娱乐,蜂医,三角洲行动动画,哈基蜂,速凌电竞,沙雕,高司令,三角洲",2025-07-05 16:31:33,2.35,"['搞笑', 'FPS', '娱乐', '蜂医', '三角洲行动动画', '哈基蜂', '速凌电竞', '沙雕', '高司令', '三角洲']",0.079955614052283,11000.425531914892
72,BV166gDzWEdR,114776994745294,猫咖倒闭了，猫去哪儿了？第一视角体验养90只猫的快乐！,小猫椰子水42,166942839,953599,10035,13327,16056,110648,7938,2025-07-01 08:28:16,205,喵星人,标题党了！！猫咖没有倒闭！只是换了一个地址！！,1,1,"第一视角,喵星人,猫咖",2025-07-05 16:31:35,3.4166666666666665,"['第一视角', '喵星人', '猫咖']",0.11603200087248414,2937.0731707317073
73,BV1hR3nzxEc3,114779008011822,天品灵根 我的孩子都是天才！,十里漫漫,48875744,1682416,419,58410,2616,18976,89,2025-07-02 00:30:00,843,国产原创相关,我的孩子都有大帝之资,1,1,"脑洞,动画短片,原创动画,二次元,搞笑",2025-07-05 16:31:37,14.05,"['脑洞', '动画短片', '原创动画', '二次元', '搞笑']",0.011279017793458931,29.8220640569395
74,BV1da3xz2ER9,114782615244541,“ 尖 端 二 游 必 吃 榜 ！”,汐汐不想睡大街,30898527,786005,794,16324,27936,57132,2822,2025-07-02 08:13:45,271,综合,"希望可以联动
出个伪联动短片
从五月做到七月",1,1,"FATE,手机游戏,二次元,今汐,卡提希娅,鸣潮2.4版本创作激励计划,漂泊者,鸣潮,鸣潮2.4版本二创",2025-07-05 16:31:38,4.516666666666667,"['FATE', '手机游戏', '二次元', '今汐', '卡提希娅', '鸣潮2.4版本创作激励计划', '漂泊者', '鸣潮', '鸣潮2.4版本二创']",0.07268656051806287,175.79335793357933
75,BV1Vm3Tz9EY1,114787614790843,难言x：全网第一把苏尔南之心手枪实战来了！,难言言x,28440054,3083585,316,26173,764,13193,66,2025-07-03 05:23:58,285,手机游戏,,1,1,"手游,FPS,和平精英地铁逃生,吃鸡,难言x,和平精英",2025-07-05 16:31:39,4.75,"['手游', 'FPS', '和平精英地铁逃生', '吃鸡', '难言x', '和平精英']",0.0042784615958373125,66.52631578947368
76,BV1bH3azmEJ2,114787111408336,我玩绝密航天被关进了....,腥味猫罐,305956876,787899,494,24117,7261,73623,2839,2025-07-03 04:07:11,156,仿妆cos,"真实事件改编，很有生活了。
新干员好帅！！喜欢！！祝大家在新赛季新地图把把爽吃！！
骇爪：@丝言不吃包子  
威龙：@卡西Casi  
拉闸叫醒电话：@粽子淞",1,1,"小姐姐,COS,腥味猫罐,三角洲行动,三角洲新干员,绝密航天,潮汐监狱,猛攻三角洲破壁新赛季,疾风,三角洲破壁新赛季上线,三角洲行动7月激励计划",2025-07-05 16:31:42,2.6,"['小姐姐', 'COS', '腥味猫罐', '三角洲行动', '三角洲新干员', '绝密航天', '潮汐监狱', '猛攻三角洲破壁新赛季', '疾风', '三角洲破壁新赛季上线', '三角洲行动7月激励计划']",0.09344217977177278,190.0
77,BV1yvgDzoEGk,114776977971486,【医学博士】对线10分钟算短吗？｜观看5分钟，幸福一辈子｜如何提升耐久度！,兔叭咯,7788379,668331,2995,22539,20276,50858,12634,2025-07-02 09:30:00,374,科学科普,"你觉得自己“对线时间”正常吗？
有人三分钟就交卷，有人能打满半小时，这差距到底正常不正常？
有没有办法让对线更久一点？
本期视频，我们从全球数据说起，聊聊那些你以为你知道、其实你并不知道的“对线”真相！
您可能还喜欢：
【注意力缺陷】BV15XKcztEdM
【万癌之王】BV1V3TjzvEcY
【便秘】BV1kaJBzCE2e
【生活化减肥】BV1J7JqzNEuz
【伟哥】BV1ic5jzoEzb",1,1,"健康,搞笑,2025科学很可爱,阳痿,男性,武器强化,沙雕,两性,早泄,医学,万物研究所",2025-07-05 16:31:43,6.233333333333333,"['健康', '搞笑', '2025科学很可爱', '阳痿', '男性', '武器强化', '沙雕', '两性', '早泄', '医学', '万物研究所']",0.0760970237801329,480.4812834224599
78,BV1oF3EzsEVc,114793738410164,给朋友报了个上海跟团游，让他好好享福……,-欣小萌-,8366990,817638,3216,12366,19650,79734,789,2025-07-04 09:25:00,821,出行,"新系列来啦：带up朋友一起报名【城市旅游团】，喜欢的话请多多互动支持呀～～
点赞过20W，带小杨翘班去厦门【跟团游下一期继续】！",1,1,"跟着UP主看世界,小杨有约,上海跟团游,小杨,小潮院长,欣小萌,小潮team,旅行攻略UP主激励计划",2025-07-05 16:31:45,13.683333333333334,"['跟着UP主看世界', '小杨有约', '上海跟团游', '小杨', '小潮院长', '欣小萌', '小潮team', '旅行攻略UP主激励计划']",0.09751748328722491,235.03045066991473
79,BV1Td3xzcEu1,114782430564545,首曝！我买车的钱竟然来自...揭秘我的真实工作！,飞飞的车COOL,50693252,1497000,9126,8420,13955,73510,3084,2025-07-02 10:00:00,950,汽车生活,"更新啦！！
很多人一直很好奇，我为什么能买这么多车，今天给大家揭秘我的真实工作啦！是不是很反差，很意想不到！
喜欢这期视频请一键三连支持哦！谢谢～",1,1,"法拉利,理想MEGA,买车,李想,电动车,理想,国产车,理想汽车,理想MEGAHome,bilibili 哔看新车",2025-07-05 16:31:47,15.833333333333334,"['法拉利', '理想MEGA', '买车', '李想', '电动车', '理想', '国产车', '理想汽车', '理想MEGAHome', 'bilibili 哔看新车']",0.04910487641950568,576.378947368421
80,BV1PA37zvEmd,114794359298505,【自制动画】《葫芦兄妹》第一集！,一粒盐-YLY,2107696861,627902,1870,17448,22761,82429,3357,2025-07-04 10:18:00,474,同人·手书,-,1,1,"葫芦娃,葫芦小金刚,金刚葫芦妹,葫芦兄妹,爆肝,自制动画,国漫创作者",2025-07-05 16:31:49,7.9,"['葫芦娃', '葫芦小金刚', '金刚葫芦妹', '葫芦兄妹', '爆肝', '自制动画', '国漫创作者']",0.13127685530544575,236.70886075949366
81,BV1Yy3tzjEti,114783118491722,孝顺跟实力无关吧,真子日记,1155574439,1272439,1446,3101,6155,104934,1096,2025-07-02 10:18:43,204,搞笑,,1,1,"搞笑研究所,UP 小剧场 3.0",2025-07-05 16:31:50,3.4,"['搞笑研究所', 'UP 小剧场 3.0']",0.0824668215922335,425.29411764705884
82,BV1kR3hzKEAD,114785601460152,漠叔被美国拒签入境后....,大漠叔叔,67141499,1359200,2718,8072,9892,86268,3425,2025-07-03 04:00:00,172,三农,,1,1,"美国,预告片,纪录片,漠叔,自由,移民,美国空气",2025-07-05 16:31:52,2.8666666666666667,"['美国', '预告片', '纪录片', '漠叔', '自由', '移民', '美国空气']",0.06346968805179518,948.1395348837209
83,BV1en3Lz5ECV,114793604256798,为了彰显男女主爱情的伟大，绿茶男主竟要求柳如烟当众与你退婚！【P11】,小宇动漫u,3546665690597383,1406960,22,56487,1757,6820,5,2025-07-04 06:44:37,186,同人·手书,为了彰显男女主爱情的伟大，绿茶男主竟要求柳如烟当众与你退婚！,1,1,"原创动画,二次元",2025-07-05 16:31:53,3.1,"['原创动画', '二次元']",0.004847330414510718,7.096774193548387
84,BV1rb38zNEZb,114784125128463,孙权英雄CG《钓》—— 少年江中钓，轻拨万重浪,王者荣耀,57863910,908433,3349,14266,5040,68467,6405,2025-07-02 23:00:00,224,手机游戏,"“夜雾锁江，扁舟浮沉。二人对钓江中，天下如饵，决胜于钩。少年郎立望江心，目光如炬。”
孙策失踪，江郡倾危，其弟孙权独撑大局。这场钓局对峙，孙权曹操都清楚，从来钓的都不是鱼。",1,1,"电子竞技,王者荣耀,新英雄孙权CG钓,孙家三兄妹齐聚孙权CG,MOBA",2025-07-05 16:31:55,3.7333333333333334,"['电子竞技', '王者荣耀', '新英雄孙权CG钓', '孙家三兄妹齐聚孙权CG', 'MOBA']",0.07536824399818148,897.0535714285714
85,BV1TZ3tzqE1f,114783235870774,峡谷百万富翁！中单刺客二番战，玻璃大炮对轰太刺激太精彩了！,上单老祖,428040854,1113819,12798,8127,33872,57025,5015,2025-07-02 11:10:00,2796,电子竞技,,1,1,"中单,刺客,英雄联盟,电子竞技,峡谷百万富翁,玻璃大炮",2025-07-05 16:31:57,46.6,"['中单', '刺客', '英雄联盟', '电子竞技', '峡谷百万富翁', '玻璃大炮']",0.051197726021912,274.6351931330472
86,BV1oggXzQEE9,114778152374031,【白厄手书】再见了，婴儿蓝眼眸的爱人,疯兔AD,13591012,434029,166,50886,37359,111221,3954,2025-07-02 10:00:09,40,同人·手书,"策划/分镜/监修：疯兔AD 
绘制：蚕酱kaiko、姆姆mumumu、漫步、木木、柒叶、奈西cc、腥红、令羽小燕 
后期：北风、阿若

BGM：The Other Side Of Paradise",1,1,"崩坏：星穹铁道,白厄,崩坏星穹铁道,黑厄,万敌,阿格莱雅,那刻夏,翁法罗斯开拓之旅,崩坏星穹铁道3.3创作者激励计划,因为太阳将要毁伤,翁法罗斯逐火之旅",2025-07-05 16:31:59,0.6666666666666666,"['崩坏：星穹铁道', '白厄', '崩坏星穹铁道', '黑厄', '万敌', '阿格莱雅', '那刻夏', '翁法罗斯开拓之旅', '崩坏星穹铁道3.3创作者激励计划', '因为太阳将要毁伤', '翁法罗斯逐火之旅']",0.2562524623930659,249.0
87,BV1w9gSzdEfg,114777162517687,《不 同 家 庭 过 暑 假》,进击的金厂长,321422126,2088390,15491,21292,56157,230490,2115,2025-07-01 09:05:50,216,搞笑,每个人的家庭各不相同，祝兄弟们都可以在羽翼丰满后，走出自己希望的道路。,1,1,"暑假,家庭,搞笑,搞笑动画,短片,生活,动画,搞笑小剧场,父母,学生,UP 小剧场 3.0",2025-07-05 16:32:01,3.6,"['暑假', '家庭', '搞笑', '搞笑动画', '短片', '生活', '动画', '搞笑小剧场', '父母', '学生', 'UP 小剧场 3.0']",0.11036731644951374,4303.055555555556
88,BV1hA3xziEGy,114782933878520,杀青了 哪有什么翁法罗斯,烦恼死的夏洛,12075114,649663,346,34191,9269,130607,4310,2025-07-02 09:35:39,30,手机游戏,"Model:mihoyo/流云景/烦恼死的夏洛
Stage:
Modelling and textures：sega
Ripping script：minmode, Skyth, Rich Whitehouse, Chrrox
Fx：khoast40 (MES40)
Ripping & Stage Animation：Dan1024",2,1,"4K,崩坏：星穹铁道,MMD·3D,MMD,白厄,星穹开拓团,星穹列车团,星穹铁道白厄,崩坏星穹铁道3.4创作者激励计划",2025-07-05 16:32:02,0.5,"['4K', '崩坏：星穹铁道', 'MMD·3D', 'MMD', '白厄', '星穹开拓团', '星穹列车团', '星穹铁道白厄', '崩坏星穹铁道3.4创作者激励计划']",0.2010380766643629,692.0
89,BV1vLgrzSEoH,114770283928472,当机制想让你赢时，不学技能拼尽全力也输不了,磊哥游戏,268941858,1574904,989,5503,3885,137180,7121,2025-07-02 01:12:23,201,手机游戏,当机制想让你赢时，不学技能拼尽全力也输不了,1,1,王者荣耀,2025-07-05 16:32:04,3.35,['王者荣耀'],0.08710372187765096,295.2238805970149
90,BV1ZMgDzLEzm,114777347068025,连方向盘也是屏幕！？,徐仕兴,343692180,2985115,3771,34512,5940,41708,7101,2025-07-01 09:55:11,229,数码,,1,1,"汽车,创意,恶搞,汽车文化",2025-07-05 16:32:05,3.816666666666667,"['汽车', '创意', '恶搞', '汽车文化']",0.013971991028821336,988.0349344978165
91,BV1pA34zxExL,114782011203378,当你在健身房装X失败,东京_浪君,3546719866325287,1126267,1308,30429,7607,132889,25671,2025-07-02 05:40:43,64,搞笑,-,1,1,"日本人,高能,健身,搞笑,健身房,真实",2025-07-05 16:32:07,1.0666666666666667,"['日本人', '高能', '健身', '搞笑', '健身房', '真实']",0.11799067183891564,1226.25
92,BV1FK34zWEyt,114782044685578,住手吧！客户已经飞走了！,阿星and阿奇,230926815,1571129,492,18773,1602,83258,598,2025-07-02 09:30:00,129,搞笑,,1,1,"搞笑,奇葩,解限机,解限机公测,段子,解限机王牌计划",2025-07-05 16:32:08,2.15,"['搞笑', '奇葩', '解限机', '解限机公测', '段子', '解限机王牌计划']",0.05299246592736816,228.8372093023256
93,BV1aF3xzBEsS,114782766107647,第一次这么希望他们不活在游戏世界……,柠檬水Pro,8384609,637313,277,37217,5062,129166,2963,2025-07-02 08:51:44,20,绘画,"看完这次崩铁的白厄pv，真的想把黄金裔的大家全都请回列车组了，太心疼了
希望他们在现实生活的日常里，都能找到属于自己的幸福和温暖QAQ",1,1,"像素画,崩坏：星穹铁道,白厄,崩坏星穹铁道,星穹铁道白厄,因为太阳将要毁伤,翁法罗斯逐火之旅,崩坏星穹铁道3.4创作者激励计划,像素风,同人图,黄金裔",2025-07-05 16:32:09,0.3333333333333333,"['像素画', '崩坏：星穹铁道', '白厄', '崩坏星穹铁道', '星穹铁道白厄', '因为太阳将要毁伤', '翁法罗斯逐火之旅', '崩坏星穹铁道3.4创作者激励计划', '像素风', '同人图', '黄金裔']",0.20267278401664487,831.0
94,BV1AF34ztENB,114782380232240,欢迎来到噩梦的世界！全新PVE剧本《无尽长梦》今日上线！,七日世界官方,3493290997451047,968705,45,30783,15940,52981,149,2025-07-03 02:00:00,124,网络游戏,,1,1,"七日世界,无尽长梦,PVE,宣传片,网易七日世界",2025-07-05 16:32:11,2.066666666666667,"['七日世界', '无尽长梦', 'PVE', '宣传片', '网易七日世界']",0.05469260507584869,21.774193548387096
95,BV1Eo3MziE5W,114789007231144,当你想吃“炝炒包菜”就把这部视频翻出来,美食强,240869947,947874,423,36666,4717,26945,3387,2025-07-03 11:18:30,169,美食记录,如果你每天不知道吃什么？可以来参考下我家的食谱，靠谱实用的家常菜，健康又美味，用心烹饪，让美食带上爱的味道。,1,1,"家常菜,视频,美食制作,美食教程,分享真实生活,记录我的美食日常,午餐,美味,做菜,健康美食,大学生就业指南-美食版2.0",2025-07-05 16:32:13,2.816666666666667,"['家常菜', '视频', '美食制作', '美食教程', '分享真实生活', '记录我的美食日常', '午餐', '美味', '做菜', '健康美食', '大学生就业指南-美食版2.0']",0.02842677402270766,150.1775147928994
96,BV1n83tzdEY7,114783470753754,假如你可以控制AI（1-3合集）,癫疯扇D,3546380991728098,1001328,358,36027,1758,20328,110,2025-07-02 11:55:51,321,网络游戏,假如你可以控制AI（1-3合集）,1,1,"暗区小剧场,暗区热门稿件大赏,假如你可以控制人机,暗区突围",2025-07-05 16:32:15,5.35,"['暗区小剧场', '暗区热门稿件大赏', '假如你可以控制人机', '暗区突围']",0.02030104021858971,66.9158878504673
97,BV1EK3Lz9EDb,114793486748805,《守 兔 待 朱》,马刀刻森,14048220,1320596,1850,11322,15023,66402,989,2025-07-04 09:55:00,525,同人·手书,"来了来了来了！！！
美好的周末再次迎来更新！！！
守株待兔×
守兔待朱√
感谢我们的新朋友长安幻想手游的大力支持！！！
一起来看看这期的新故事吧！！！
创作不易 喜欢的话就点个赞吧！！！求求了！！！",1,1,"动画,二次元,动画短片,剧情,动漫,情感,搞笑,长安幻想,长安幻想十万人争锋服,转世续缘",2025-07-05 16:32:16,8.75,"['动画', '二次元', '动画短片', '剧情', '动漫', '情感', '搞笑', '长安幻想', '长安幻想十万人争锋服', '转世续缘']",0.05028184244083732,211.42857142857142
98,BV1Pt3uzLEg6,114788671685816,“猪党”即将通过大而美法案，马斯克再度炮轰白宫,麻薯波比呀,703186600,1291029,7871,7166,10210,74442,1062,2025-07-03 09:53:36,1117,社科·法律·心理,,1,1,"社会观察局,美国,特斯拉,美国债务,大而美法案,特朗普马斯克骂战,马斯克,特朗普",2025-07-05 16:32:18,18.616666666666667,"['社会观察局', '美国', '特斯拉', '美国债务', '大而美法案', '特朗普马斯克骂战', '马斯克', '特朗普']",0.05766098205385007,422.79319606087734
99,BV1ym3MzkE5N,114789309290654,这房子也太露骨了吧？？！,kiki的假期,3494370441431895,1166016,999,4137,18182,80208,454,2025-07-03 12:34:40,355,家居房产,,1,1,"旧房改造,房间布置,租房改造",2025-07-05 16:32:20,5.916666666666667,"['旧房改造', '房间布置', '租房改造']",0.06878807837971349,168.8450704225352
100,BV1gE3uzpEpA,114788705441676,【定格动画】狐凸凸的国风萌舞,小狐哥-,1462604756,555380,103,11531,85530,147574,582,2025-07-03 10:01:41,22,同人·手书,创作不易，希望能得到大家的三连,1,1,"国风,定格动画,狐凸凸动画",2025-07-05 16:32:22,0.36666666666666664,"['国风', '定格动画', '狐凸凸动画']",0.2657171666246534,280.90909090909093
